#FORMAT=WebAnno TSV 3.3
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=Braun/Gerhard ( Rom ) , 6 .
1-1	0-13	Braun/Gerhard	*[1]|*[2]	PERaddressee[1]|PERauthor[2]	
3-38	539-542	der	_	_	
3-39	543-547	Nase	_	_	
3-40	548-551	weg	_	_	
3-41	552-555	und	_	_	
3-42	556-561	zeigt	_	_	
3-43	562-569	Franzen	*	PERmentioned	
3-44	570-574	fest	_	_	
3-45	575-589	hineinzuziehen	_	_	
3-46	590-591	.	_	_	

#Text=Dieser hat wenig Charakter und eben keine großartigen Gesinnunsen .
4-1	592-598	Dieser	_	_	
4-2	599-602	hat	_	_	
4-3	603-608	wenig	_	_	
4-4	609-618	Charakter	_	_	
4-5	619-622	und	_	_	
4-6	623-627	eben	_	_	
4-7	628-633	keine	_	_	
4-8	634-645	großartigen	_	_	
4-9	646-657	Gesinnunsen	_	_	
4-10	658-659	.	_	_	

#Text=Die freundliche Aufnahme einer vornehmen Person macht ihn confus , daß er nichts von sich weiß .
5-1	660-663	Die	_	_	
5-2	664-675	freundliche	_	_	
5-3	676-684	Aufnahme	_	_	
5-4	685-690	einer	_	_	
5-5	691-700	vornehmen	_	_	
5-6	701-707	Person	_	_	
5-7	708-713	macht	_	_	
5-8	714-717	ihn	_	_	
5-9	718-724	confus	_	_	
5-10	725-726	,	_	_	
5-11	727-730	daß	_	_	
5-12	731-733	er	_	_	
5-13	734-740	nichts	_	_	
5-14	741-744	von	_	_	
5-15	745-749	sich	_	_	
5-16	750-754	weiß	_	_	
5-17	755-756	.	_	_	

#Text=6 genn 35 ( Rückseite ) : Daß mich Bunsen einen Sciarlatan in Beziehung auf mein Interesse in der Homöopathie nennt , habe ich nicht von den Leuten denen ich meine menschliche Theilnahme geschenkt , am allerwenigsten von seiner Familie verdient .
6-1	757-758	6	_	_	
6-2	759-763	genn	_	_	
6-3	764-766	35	_	_	
6-4	767-768	(	_	_	
6-5	769-778	Rückseite	_	_	
6-6	779-780	)	_	_	
6-7	781-782	:	_	_	
6-8	783-786	Daß	_	_	
6-9	787-791	mich	_	_	
6-10	792-798	Bunsen	*	PERmentioned	
6-11	799-804	einen	_	_	
6-12	805-815	Sciarlatan	_	_	
6-13	816-818	in	_	_	
6-14	819-828	Beziehung	_	_	
6-15	829-832	auf	_	_	
6-16	833-837	mein	_	_	
6-17	838-847	Interesse	_	_	
6-18	848-850	in	_	_	
6-19	851-854	der	_	_	
6-20	855-866	Homöopathie	_	_	
6-21	867-872	nennt	_	_	
6-22	873-874	,	_	_	
6-23	875-879	habe	_	_	
6-24	880-883	ich	_	_	
6-25	884-889	nicht	_	_	
6-26	890-893	von	_	_	
6-27	894-897	den	_	_	
6-28	898-904	Leuten	_	_	
6-29	905-910	denen	_	_	
6-30	911-914	ich	_	_	
6-31	915-920	meine	_	_	
6-32	921-932	menschliche	_	_	
6-33	933-943	Theilnahme	_	_	
6-34	944-953	geschenkt	_	_	
6-35	954-955	,	_	_	
6-36	956-958	am	_	_	
6-37	959-973	allerwenigsten	_	_	
6-38	974-977	von	_	_	
6-39	978-984	seiner	_	_	
6-40	985-992	Familie	_	_	
6-41	993-1001	verdient	_	_	
6-42	1002-1003	.	_	_	

#Text=Daß Miß Thompson fast rettungslos verloren ist , haben Sie wohl mit Bedauern vernommen .
7-1	1004-1007	Daß	_	_	
7-2	1008-1011	Miß	_	_	
7-3	1012-1020	Thompson	*	PERmentioned	
7-4	1021-1025	fast	_	_	
7-5	1026-1037	rettungslos	_	_	
7-6	1038-1046	verloren	_	_	
7-7	1047-1050	ist	_	_	
7-8	1051-1052	,	_	_	
7-9	1053-1058	haben	_	_	
7-10	1059-1062	Sie	_	_	
7-11	1063-1067	wohl	_	_	
7-12	1068-1071	mit	_	_	
7-13	1072-1080	Bedauern	_	_	
7-14	1081-1090	vernommen	_	_	
7-15	1091-1092	.	_	_	

#Text=Eine böse Schwindsucht .
8-1	1093-1097	Eine	_	_	
8-2	1098-1102	böse	_	_	
8-3	1103-1115	Schwindsucht	_	_	
8-4	1116-1117	.	_	_	

#Text=Ihre Rückkehr zur Homöopathie ist zu spät .
9-1	1118-1122	Ihre	_	_	
9-2	1123-1131	Rückkehr	_	_	
9-3	1132-1135	zur	_	_	
9-4	1136-1147	Homöopathie	_	_	
9-5	1148-1151	ist	_	_	
9-6	1152-1154	zu	_	_	
9-7	1155-1159	spät	_	_	
9-8	1160-1161	.	_	_	

#Text=Meine Hoffnungen sind sehr gering , obgleich ich sie aufrecht erhalte .
10-1	1162-1167	Meine	_	_	
10-2	1168-1178	Hoffnungen	_	_	
10-3	1179-1183	sind	_	_	
10-4	1184-1188	sehr	_	_	
10-5	1189-1195	gering	_	_	
10-6	1196-1197	,	_	_	
10-7	1198-1206	obgleich	_	_	
10-8	1207-1210	ich	_	_	
10-9	1211-1214	sie	_	_	
10-10	1215-1223	aufrecht	_	_	
10-11	1224-1231	erhalte	_	_	
10-12	1232-1233	.	_	_	

#Text=Nachdem ich mich durch so viel Verdruß hindurch gerettet ist es allerdings ein trauriger Lohn mich von denen zurückziehen zu müssen , denen ich mehr als ich schuldig war , zugewandt und bedacht habe .
11-1	1234-1241	Nachdem	_	_	
11-2	1242-1245	ich	_	_	
11-3	1246-1250	mich	_	_	
11-4	1251-1256	durch	_	_	
11-5	1257-1259	so	_	_	
11-6	1260-1264	viel	_	_	
11-7	1265-1272	Verdruß	_	_	
11-8	1273-1281	hindurch	_	_	
11-9	1282-1290	gerettet	_	_	
11-10	1291-1294	ist	_	_	
11-11	1295-1297	es	_	_	
11-12	1298-1308	allerdings	_	_	
11-13	1309-1312	ein	_	_	
11-14	1313-1322	trauriger	_	_	
11-15	1323-1327	Lohn	_	_	
11-16	1328-1332	mich	_	_	
11-17	1333-1336	von	_	_	
11-18	1337-1342	denen	_	_	
11-19	1343-1355	zurückziehen	_	_	
11-20	1356-1358	zu	_	_	
11-21	1359-1365	müssen	_	_	
11-22	1366-1367	,	_	_	
11-23	1368-1373	denen	_	_	
11-24	1374-1377	ich	_	_	
11-25	1378-1382	mehr	_	_	
11-26	1383-1386	als	_	_	
11-27	1387-1390	ich	_	_	
11-28	1391-1399	schuldig	_	_	
11-29	1400-1403	war	_	_	
11-30	1404-1405	,	_	_	
11-31	1406-1415	zugewandt	_	_	
11-32	1416-1419	und	_	_	
11-33	1420-1427	bedacht	_	_	
11-34	1428-1432	habe	_	_	
11-35	1433-1434	.	_	_	

#Text=- Gott behüte Sie | !
12-1	1435-1436	-	_	_	
12-2	1437-1441	Gott	_	_	
12-3	1442-1448	behüte	_	_	
12-4	1449-1452	Sie	_	_	
12-5	1453-1454	|	_	_	
12-6	1455-1456	!	_	_	
