#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=Momnmsen an Brunn Berlin , Mai 1893 Nettleship , H. , Professor , Oxford .
1-1	0-8	Momnmsen	*[1]	PERauthor[1]
4-9	219-224	Paris	*	PLACEmentioned
4-10	225-226	.	_	_

#Text=Pelham , H.F. , Professor , Oxford .
5-1	227-233	Pelham	*[7]	PERauthor[7]
5-2	234-235	,	*[7]	PERauthor[7]
5-3	236-240	H.F.	*[7]	PERauthor[7]
5-4	241-242	,	_	_
5-5	243-252	Professor	_	_
5-6	253-254	,	_	_
5-7	255-261	Oxford	*	PLACEmentioned
5-8	262-263	.	_	_

#Text=Pernice , A. , Professor Dr. , Geheimrath , Berlin .
6-1	264-271	Pernice	*[8]	PERauthor[8]
6-2	272-273	,	*[8]	PERauthor[8]
6-3	274-276	A.	*[8]	PERauthor[8]
6-4	277-278	,	*[8]	PERauthor[8]
6-5	279-288	Professor	_	_
6-6	289-292	Dr.	_	_
6-7	293-294	,	_	_
6-8	295-305	Geheimrath	_	_
6-9	306-307	,	_	_
6-10	308-314	Berlin	*	PLACEmentioned
6-11	315-316	.	_	_

#Text=Pernice , H. Professor Dr. , Geheimrath , Greifswald .
7-1	317-324	Pernice	*[9]	PERauthor[9]
7-2	325-326	,	*[9]	PERauthor[9]
7-3	327-329	H.	*[9]	PERauthor[9]
7-4	330-339	Professor	_	_
7-5	340-343	Dr.	_	_
7-6	344-345	,	_	_
7-7	346-356	Geheimrath	_	_
7-8	357-358	,	_	_
7-9	359-369	Greifswald	*	PLACEmentioned
7-10	370-371	.	_	_

#Text=Perrot , G. , Membre de 1'Institut , Paris .
8-1	372-378	Perrot	*[10]	PERauthor[10]
8-2	379-380	,	*[10]	PERauthor[10]
8-3	381-383	G.	*[10]	PERauthor[10]
8-4	384-385	,	_	_
8-5	386-392	Membre	_	_
8-6	393-395	de	_	_
8-7	396-406	1'Institut	*	ORGmentioned
8-8	407-408	,	_	_
8-9	409-414	Paris	*	PLACEmentioned
8-10	415-416	.	_	_

#Text=Petersen , Professor Dr. , Rom .
9-1	417-425	Petersen	*	PERauthor
9-2	426-427	,	_	_
9-3	428-437	Professor	_	_
9-4	438-441	Dr.	_	_
9-5	442-443	,	_	_
9-6	444-447	Rom	*	PLACEmentioned
9-7	448-449	.	_	_

#Text=von Planck , W. , Professor Dr. , Geheimrath , München .
10-1	450-453	von	*[11]	PERauthor[11]
10-2	454-460	Planck	*[11]	PERauthor[11]
10-3	461-462	,	*[11]	PERauthor[11]
10-4	463-465	W.	*[11]	PERauthor[11]
10-5	466-467	,	_	_
10-6	468-477	Professor	_	_
10-7	478-481	Dr.	_	_
10-8	482-483	,	_	_
10-9	484-494	Geheimrath	_	_
10-10	495-496	,	_	_
10-11	497-504	München	*	PLACEmentioned
10-12	505-506	.	_	_

#Text=Ramsay , W. M. , Professor .
11-1	507-513	Ramsay	*[12]	PERauthor[12]
11-2	514-515	,	*[12]	PERauthor[12]
11-3	516-518	W.	*[12]	PERauthor[12]
11-4	519-521	M.	*[12]	PERauthor[12]
11-5	522-523	,	_	_
11-6	524-533	Professor	_	_
11-7	534-535	.	_	_

#Text=Aberdeen .
12-1	536-544	Aberdeen	*	PLACEmentioned
12-2	545-546	.	_	_

#Text=vom Rath , A. , Berlin Reimer , E. , Verlagsbuchhändler , Berlin .
13-1	547-550	vom	*[13]	PERauthor[13]
13-2	551-555	Rath	*[13]	PERauthor[13]
13-3	556-557	,	*[13]	PERauthor[13]
13-4	558-560	A.	*[13]	PERauthor[13]
13-5	561-562	,	_	_
13-6	563-569	Berlin	*	PLACEmentioned
13-7	570-576	Reimer	*[14]	PERauthor[14]
13-8	577-578	,	*[14]	PERauthor[14]
13-9	579-581	E.	*[14]	PERauthor[14]
13-10	582-583	,	_	_
13-11	584-602	Verlagsbuchhändler	_	_
13-12	603-604	,	_	_
13-13	605-611	Berlin	*	PLACEmentioned
13-14	612-613	.	_	_

#Text=Reitzenstein , R. , Frofessor Dr. , Giessen .
14-1	614-626	Reitzenstein	*[15]	PERauthor[15]
14-2	627-628	,	*[15]	PERauthor[15]
14-3	629-631	R.	*[15]	PERauthor[15]
14-4	632-633	,	_	_
14-5	634-643	Frofessor	_	_
14-6	644-647	Dr.	_	_
14-7	648-649	,	_	_
14-8	650-657	Giessen	*	PLACEmentioned
14-9	658-659	.	_	_

#Text=Rivier , A. , Professor Dr. , Brüssel .
15-1	660-666	Rivier	*[16]	PERauthor[16]
15-2	667-668	,	*[16]	PERauthor[16]
15-3	669-671	A.	*[16]	PERauthor[16]
15-4	672-673	,	_	_
15-5	674-683	Professor	_	_
15-6	684-687	Dr.	_	_
15-7	688-689	,	_	_
15-8	690-697	Brüssel	*	PLACEmentioned
15-9	698-699	.	_	_

#Text=Robert , C. , Professor Dr. , Halle a . S. Roepell , R. , Professor Dr. , Geheimrath , Breslauf , de Rossi , G . B. , Commendatore , Ron .
16-1	700-706	Robert	*[17]	PERauthor[17]
16-2	707-708	,	*[17]	PERauthor[17]
16-3	709-711	C.	*[17]	PERauthor[17]
16-4	712-713	,	_	_
16-5	714-723	Professor	_	_
16-6	724-727	Dr.	_	_
16-7	728-729	,	_	_
16-8	730-735	Halle	*[18]	PLACEmentioned[18]
16-9	736-737	a	*[18]	PLACEmentioned[18]
16-10	738-739	.	*[18]	PLACEmentioned[18]
16-11	740-742	S.	*[18]	PLACEmentioned[18]
16-12	743-750	Roepell	*[19]	PERauthor[19]
16-13	751-752	,	*[19]	PERauthor[19]
16-14	753-755	R.	*[19]	PERauthor[19]
16-15	756-757	,	_	_
16-16	758-767	Professor	_	_
16-17	768-771	Dr.	_	_
16-18	772-773	,	_	_
16-19	774-784	Geheimrath	_	_
16-20	785-786	,	_	_
16-21	787-795	Breslauf	*	PLACEmentioned
16-22	796-797	,	_	_
16-23	798-800	de	*[20]	PERauthor[20]
16-24	801-806	Rossi	*[20]	PERauthor[20]
16-25	807-808	,	*[20]	PERauthor[20]
16-26	809-810	G	*[20]	PERauthor[20]
16-27	811-812	.	*[20]	PERauthor[20]
16-28	813-815	B.	*[20]	PERauthor[20]
16-29	816-817	,	_	_
16-30	818-830	Commendatore	_	_
16-31	831-832	,	_	_
16-32	833-836	Ron	*	PLACEmentioned
16-33	837-838	.	_	_

#Text=Salinas , A. , Professor Dr. , Palermo .
17-1	839-846	Salinas	*[21]	PERauthor[21]
17-2	847-848	,	*[21]	PERauthor[21]
17-3	849-851	A.	*[21]	PERauthor[21]
17-4	852-853	,	_	_
17-5	854-863	Professor	_	_
17-6	864-867	Dr.	_	_
17-7	868-869	,	_	_
17-8	870-877	Palermo	*	PLACEmentioned
17-9	878-879	.	_	_

#Text=Sauppe , H. Professor Dr. , Geheimrath , Göttingen .
18-1	880-886	Sauppe	*[22]	PERauthor[22]
18-2	887-888	,	*[22]	PERauthor[22]
18-3	889-891	H.	*[22]	PERauthor[22]
18-4	892-901	Professor	_	_
18-5	902-905	Dr.	_	_
18-6	906-907	,	_	_
18-7	908-918	Geheimrath	_	_
18-8	919-920	,	_	_
18-9	921-930	Göttingen	*	PLACEmentioned
18-10	931-932	.	_	_

#Text=Schmidt , E. , Professor Dr. , Berlin .
19-1	933-940	Schmidt	*[23]	PERauthor[23]
19-2	941-942	,	*[23]	PERauthor[23]
19-3	943-945	E.	*[23]	PERauthor[23]
19-4	946-947	,	_	_
19-5	948-957	Professor	_	_
19-6	958-961	Dr.	_	_
19-7	962-963	,	_	_
19-8	964-970	Berlin	*	PLACEmentioned
19-9	971-972	.	_	_

#Text=Schmidt , F. , Dr. , Regier.-Assessor im Cultusministerium , Brlin Schmidt , J. , Professor Dr. , Königsberg i .
20-1	973-980	Schmidt	*[24]	PERauthor[24]
20-2	981-982	,	*[24]	PERauthor[24]
20-3	983-985	F.	*[24]	PERauthor[24]
20-4	986-987	,	_	_
20-5	988-991	Dr.	_	_
20-6	992-993	,	_	_
20-7	994-1010	Regier.-Assessor	_	_
20-8	1011-1013	im	_	_
20-9	1014-1031	Cultusministerium	*[30]	ORGmentioned[30]
20-10	1032-1033	,	*[30]	ORGmentioned[30]
20-11	1034-1039	Brlin	*[25]	PLACEmentioned[25]
20-12	1040-1047	Schmidt	*[26]	PERauthor[26]
20-13	1048-1049	,	*[26]	PERauthor[26]
20-14	1050-1052	J.	*[26]	PERauthor[26]
20-15	1053-1054	,	_	_
20-16	1055-1064	Professor	_	_
20-17	1065-1068	Dr.	_	_
20-18	1069-1070	,	_	_
20-19	1071-1081	Königsberg	*[27]	PLACEmentioned[27]
20-20	1082-1083	i	*[27]	PLACEmentioned[27]
20-21	1084-1085	.	*[27]	PLACEmentioned[27]

#Text=P. von Schneider , R. , Dr. , Custos der Kunstsammlungen des a.h .
21-1	1086-1088	P.	*[27]	PLACEmentioned[27]
21-2	1089-1092	von	*[28]	PERauthor[28]
21-3	1093-1102	Schneider	*[28]	PERauthor[28]
21-4	1103-1104	,	*[28]	PERauthor[28]
21-5	1105-1107	R.	*[28]	PERauthor[28]
21-6	1108-1109	,	_	_
21-7	1110-1113	Dr.	_	_
21-8	1114-1115	,	_	_
21-9	1116-1122	Custos	_	_
21-10	1123-1126	der	_	_
21-11	1127-1142	Kunstsammlungen	*[29]	ORGmentioned[29]
21-12	1143-1146	des	*[29]	ORGmentioned[29]
21-13	1147-1150	a.h	*[29]	ORGmentioned[29]
21-14	1151-1152	.	*[29]	ORGmentioned[29]

#Text=Kaiserhauses , Wien .
22-1	1153-1165	Kaiserhauses	*[29]	ORGmentioned[29]
22-2	1166-1167	,	_	_
22-3	1168-1172	Wien	*	PLACEmentioned
22-4	1173-1174	.	_	_
