#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=Mommsen an Brunn Berlin , Mai 1893 -5- Jacoby , L. , Professor , Berlin .
1-1	0-7	Mommsen	*	PERauthor
9-1	555-562	Lessing	*[14]	PERauthor[14]
9-2	563-564	,	*[14]	PERauthor[14]
9-3	565-567	C.	*[14]	PERauthor[14]
9-4	568-570	R.	*[14]	PERauthor[14]
9-5	571-572	,	_	_
9-6	573-583	Geheimrath	_	_
9-7	584-585	,	_	_
9-8	586-592	Berlin	*	PLACEmentioned
9-9	593-594	.	_	_

#Text=de Leva , J. , Professor Dr. , Padua .
10-1	595-597	de	*[15]	PERauthor[15]
10-2	598-602	Leva	*[15]	PERauthor[15]
10-3	603-604	,	*[15]	PERauthor[15]
10-4	605-607	J.	*[15]	PERauthor[15]
10-5	608-609	,	_	_
10-6	610-619	Professor	_	_
10-7	620-623	Dr.	_	_
10-8	624-625	,	_	_
10-9	626-631	Padua	*	PLACEmentioned
10-10	632-633	.	_	_

#Text=Lichtwark , A , , Director Dr. , Hamburg .
11-1	634-643	Lichtwark	*[16]	PERauthor[16]
11-2	644-645	,	*[16]	PERauthor[16]
11-3	646-647	A	*[16]	PERauthor[16]
11-4	648-649	,	_	_
11-5	650-651	,	_	_
11-6	652-660	Director	_	_
11-7	661-664	Dr.	_	_
11-8	665-666	,	_	_
11-9	667-674	Hamburg	*	PLACEmentioned
11-10	675-676	.	_	_

#Text=von Liliencron , R. , Freiherr , Dr. , Klosterprobst , Schleswig .
12-1	677-680	von	*[17]	PERauthor[17]
12-2	681-691	Liliencron	*[17]	PERauthor[17]
12-3	692-693	,	*[17]	PERauthor[17]
12-4	694-696	R.	*[17]	PERauthor[17]
12-5	697-698	,	*[17]	PERauthor[17]
12-6	699-707	Freiherr	*[17]	PERauthor[17]
12-7	708-709	,	_	_
12-8	710-713	Dr.	_	_
12-9	714-715	,	_	_
12-10	716-729	Klosterprobst	_	_
12-11	730-731	,	_	_
12-12	732-741	Schleswig	*	PLACEmentioned
12-13	742-743	.	_	_

#Text=Ludwig , C. , Professor Dr. , Geheimrath , Leipzig .
13-1	744-750	Ludwig	*[18]	PERauthor[18]
13-2	751-752	,	*[18]	PERauthor[18]
13-3	753-755	C.	*[18]	PERauthor[18]
13-4	756-757	,	_	_
13-5	758-767	Professor	_	_
13-6	768-771	Dr.	_	_
13-7	772-773	,	_	_
13-8	774-784	Geheimrath	_	_
13-9	785-786	,	_	_
13-10	787-794	Leipzig	*	PLACEmentioned
13-11	795-796	.	_	_

#Text=von Mendelssohn , R. , Banguier , Berlin .
14-1	797-800	von	*[19]	PERauthor[19]
14-2	801-812	Mendelssohn	*[19]	PERauthor[19]
14-3	813-814	,	*[19]	PERauthor[19]
14-4	815-817	R.	*[19]	PERauthor[19]
14-5	818-819	,	_	_
14-6	820-828	Banguier	_	_
14-7	829-830	,	_	_
14-8	831-837	Berlin	*	PLACEmentioned
14-9	838-839	.	_	_

#Text=Mendelssohn , L. , Professor Dr. , Staatsrath , Dorpat .
15-1	840-851	Mendelssohn	*[20]	PERauthor[20]
15-2	852-853	,	*[20]	PERauthor[20]
15-3	854-856	L.	*[20]	PERauthor[20]
15-4	857-858	,	*[20]	PERauthor[20]
15-5	859-868	Professor	_	_
15-6	869-872	Dr.	_	_
15-7	873-874	,	_	_
15-8	875-885	Staatsrath	_	_
15-9	886-887	,	_	_
15-10	888-894	Dorpat	*	PLACEmentioned
15-11	895-896	.	_	_

#Text=Menzel , A. , Professor Dr. , Berlin .
16-1	897-903	Menzel	*[21]	PERauthor[21]
16-2	904-905	,	*[21]	PERauthor[21]
16-3	906-908	A.	*[21]	PERauthor[21]
16-4	909-910	,	_	_
16-5	911-920	Professor	_	_
16-6	921-924	Dr.	_	_
16-7	925-926	,	_	_
16-8	927-933	Berlin	*	PLACEmentioned
16-9	934-935	.	_	_

#Text=von Mevissen , G. , Dr. , Geheimrath , Köln .
17-1	936-939	von	*[22]	PERauthor[22]
17-2	940-948	Mevissen	*[22]	PERauthor[22]
17-3	949-950	,	*[22]	PERauthor[22]
17-4	951-953	G.	*[22]	PERauthor[22]
17-5	954-955	,	_	_
17-6	956-959	Dr.	_	_
17-7	960-961	,	_	_
17-8	962-972	Geheimrath	_	_
17-9	973-974	,	_	_
17-10	975-979	Köln	*	PLACEmentioned
17-11	980-981	.	_	_

#Text=Michaelis , A. , Professor Dr. , Strassburg i. Els .
18-1	982-991	Michaelis	*[23]	PERauthor[23]
18-2	992-993	,	*[23]	PERauthor[23]
18-3	994-996	A.	*[23]	PERauthor[23]
18-4	997-998	,	_	_
18-5	999-1008	Professor	_	_
18-6	1009-1012	Dr.	_	_
18-7	1013-1014	,	_	_
18-8	1015-1025	Strassburg	*[24]	PLACEmentioned[24]
18-9	1026-1028	i.	*[24]	PLACEmentioned[24]
18-10	1029-1032	Els	*[24]	PLACEmentioned[24]
18-11	1033-1034	.	_	_

#Text=Mitteis , L. , Professor Dr. , Prag .
19-1	1035-1042	Mitteis	*[25]	PERauthor[25]
19-2	1043-1044	,	*[25]	PERauthor[25]
19-3	1045-1047	L.	*[25]	PERauthor[25]
19-4	1048-1049	,	_	_
19-5	1050-1059	Professor	_	_
19-6	1060-1063	Dr.	_	_
19-7	1064-1065	,	_	_
19-8	1066-1070	Prag	*	PLACEmentioned
19-9	1071-1072	.	_	_

#Text=Müller , F. Max , Professor Dr. , Oxford .
20-1	1073-1079	Müller	*[26]	PERauthor[26]
20-2	1080-1081	,	*[26]	PERauthor[26]
20-3	1082-1084	F.	*[26]	PERauthor[26]
20-4	1085-1088	Max	*[26]	PERauthor[26]
20-5	1089-1090	,	_	_
20-6	1091-1100	Professor	_	_
20-7	1101-1104	Dr.	_	_
20-8	1105-1106	,	_	_
20-9	1107-1113	Oxford	*	PLACEmentioned
20-10	1114-1115	.	_	_

#Text=Murray , A.S. , British Museum , London .
21-1	1116-1122	Murray	*[27]	PERauthor[27]
21-2	1123-1124	,	*[27]	PERauthor[27]
21-3	1125-1129	A.S.	*[27]	PERauthor[27]
21-4	1130-1131	,	_	_
21-5	1132-1139	British	*[28]	ORGmentioned[28]
21-6	1140-1146	Museum	*[28]	ORGmentioned[28]
21-7	1147-1148	,	_	_
21-8	1149-1155	London	*	PLACEmentioned
21-9	1156-1157	.	_	_
