#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=Mommsen an Brunn Berlin , Mai 1893 - 3 - von Brunn , Professor Dr. , Geheimrath , München .
1-1	0-7	Mommsen	*	PERauthor
9-7	547-550	Dr.	_	_
9-8	551-552	,	_	_
9-9	553-563	Heidelberg	*	PLACEmentioned
9-10	564-565	.	_	_

#Text=Dörpfeld , W. , Professor Dr. , Athein .
10-1	566-574	Dörpfeld	*[14]	PERauthor[14]
10-2	575-576	,	*[14]	PERauthor[14]
10-3	577-579	W.	*[14]	PERauthor[14]
10-4	580-581	,	_	_
10-5	582-591	Professor	_	_
10-6	592-595	Dr.	_	_
10-7	596-597	,	_	_
10-8	598-604	Athein	*	PLACEmentioned
10-9	605-606	.	_	_

#Text=Dümmler , E. Professor Dr. , Geheimrath , Berlin .
11-1	607-614	Dümmler	*[15]	PERauthor[15]
11-2	615-616	,	*[15]	PERauthor[15]
11-3	617-619	E.	*[15]	PERauthor[15]
11-4	620-629	Professor	_	_
11-5	630-633	Dr.	_	_
11-6	634-635	,	_	_
11-7	636-646	Geheimrath	_	_
11-8	647-648	,	_	_
11-9	649-655	Berlin	*	PLACEmentioned
11-10	656-657	.	_	_

#Text=Eck , E. , Professor Dr. , Geheimrath , Berlin .
12-1	658-661	Eck	*[16]	PERauthor[16]
12-2	662-663	,	*[16]	PERauthor[16]
12-3	664-666	E.	*[16]	PERauthor[16]
12-4	667-668	,	_	_
12-5	669-678	Professor	_	_
12-6	679-682	Dr.	_	_
12-7	683-684	,	_	_
12-8	685-695	Geheimrath	_	_
12-9	696-697	,	_	_
12-10	698-704	Berlin	*	PLACEmentioned
12-11	705-706	.	_	_

#Text=Exner , A. , Professor Dr. , Wien .
13-1	707-712	Exner	*[17]	PERauthor[17]
13-2	713-714	,	*[17]	PERauthor[17]
13-3	715-717	A.	*[17]	PERauthor[17]
13-4	718-719	,	_	_
13-5	720-729	Professor	_	_
13-6	730-733	Dr.	_	_
13-7	734-735	,	_	_
13-8	736-740	Wien	*	PLACEmentioned
13-9	741-742	.	_	_

#Text=Fabricius , E. , Professor Dr. , Freiburg i .
14-1	743-752	Fabricius	*[18]	PERauthor[18]
14-2	753-754	,	*[18]	PERauthor[18]
14-3	755-757	E.	*[18]	PERauthor[18]
14-4	758-759	,	*[18]	PERauthor[18]
14-5	760-769	Professor	_	_
14-6	770-773	Dr.	_	_
14-7	774-775	,	_	_
14-8	776-784	Freiburg	*[19]	PLACEmentioned[19]
14-9	785-786	i	*[19]	PLACEmentioned[19]
14-10	787-788	.	*[19]	PLACEmentioned[19]

#Text=B. Fitting , H. , Professor Dr. , Geheimrath , Halle a . S. Freytag , G. , Dr. , Geheimrath , Wiesbaden .
15-1	789-791	B.	*[19]	PLACEmentioned[19]
15-2	792-799	Fitting	*[20]	PERauthor[20]
15-3	800-801	,	*[20]	PERauthor[20]
15-4	802-804	H.	*[20]	PERauthor[20]
15-5	805-806	,	_	_
15-6	807-816	Professor	_	_
15-7	817-820	Dr.	_	_
15-8	821-822	,	_	_
15-9	823-833	Geheimrath	_	_
15-10	834-835	,	_	_
15-11	836-841	Halle	*[21]	PLACEmentioned[21]
15-12	842-843	a	*[21]	PLACEmentioned[21]
15-13	844-845	.	*[21]	PLACEmentioned[21]
15-14	846-848	S.	*[21]	PLACEmentioned[21]
15-15	849-856	Freytag	*[22]	PERauthor[22]
15-16	857-858	,	*[22]	PERauthor[22]
15-17	859-861	G.	*[22]	PERauthor[22]
15-18	862-863	,	_	_
15-19	864-867	Dr.	_	_
15-20	868-869	,	_	_
15-21	870-880	Geheimrath	_	_
15-22	881-882	,	_	_
15-23	883-892	Wiesbaden	*	PLACEmentioned
15-24	893-894	.	_	_

#Text=von Friedberg , H. , Dr. , Staats-Minister u.Kronsyndicus , Berlin Girard , P. , Professeur ä la Facult & des Lettres , Paris .
16-1	895-898	von	_	_
16-2	899-908	Friedberg	*[23]	PERauthor[23]
16-3	909-910	,	*[23]	PERauthor[23]
16-4	911-913	H.	*[23]	PERauthor[23]
16-5	914-915	,	_	_
16-6	916-919	Dr.	_	_
16-7	920-921	,	_	_
16-8	922-937	Staats-Minister	_	_
16-9	938-952	u.Kronsyndicus	*[28]	PLACEmentioned[28]
16-10	953-954	,	*[28]	PLACEmentioned[28]
16-11	955-961	Berlin	*[28]	PLACEmentioned[28]
16-12	962-968	Girard	*[24]	PERauthor[24]
16-13	969-970	,	*[24]	PERauthor[24]
16-14	971-973	P.	*[24]	PERauthor[24]
16-15	974-975	,	_	_
16-16	976-986	Professeur	_	_
16-17	987-988	ä	_	_
16-18	989-991	la	_	_
16-19	992-998	Facult	_	_
16-20	999-1000	&	_	_
16-21	1001-1004	des	_	_
16-22	1005-1012	Lettres	_	_
16-23	1013-1014	,	_	_
16-24	1015-1020	Paris	*	PLACEmentioned
16-25	1021-1022	.	_	_

#Text=Girard , P.Fr. , Pfrofesseur agr & g & ä la Facult & de Droit , Paris von Gneist , .
17-1	1023-1029	Girard	*[25]	PERauthor[25]
17-2	1030-1031	,	*[25]	PERauthor[25]
17-3	1032-1037	P.Fr.	*[25]	PERauthor[25]
17-4	1038-1039	,	_	_
17-5	1040-1051	Pfrofesseur	_	_
17-6	1052-1055	agr	_	_
17-7	1056-1057	&	_	_
17-8	1058-1059	g	_	_
17-9	1060-1061	&	_	_
17-10	1062-1063	ä	_	_
17-11	1064-1066	la	_	_
17-12	1067-1073	Facult	_	_
17-13	1074-1075	&	_	_
17-14	1076-1078	de	_	_
17-15	1079-1084	Droit	*[29]	PLACEmentioned[29]
17-16	1085-1086	,	*[29]	PLACEmentioned[29]
17-17	1087-1092	Paris	*[29]	PLACEmentioned[29]
17-18	1093-1096	von	*[26]	PERauthor[26]
17-19	1097-1103	Gneist	*[26]	PERauthor[26]
17-20	1104-1105	,	*[26]	PERauthor[26]
17-21	1106-1107	.	*[26]	PERauthor[26]

#Text=R. , Professor Dr. , Wirkl.Geh.Ob.-Just.-Rath , Berlin .
18-1	1108-1110	R.	_	_
18-2	1111-1112	,	_	_
18-3	1113-1122	Professor	_	_
18-4	1123-1126	Dr.	_	_
18-5	1127-1128	,	_	_
18-6	1129-1153	Wirkl.Geh.Ob.-Just.-Rath	_	_
18-7	1154-1155	,	_	_
18-8	1156-1162	Berlin	*	PLACEmentioned
18-9	1163-1164	.	_	_

#Text=Gomperz , Th. , Professor Dr. , Wien .
19-1	1165-1172	Gomperz	*[27]	PERauthor[27]
19-2	1173-1174	,	*[27]	PERauthor[27]
19-3	1175-1178	Th.	_	_
19-4	1179-1180	,	_	_
19-5	1181-1190	Professor	_	_
19-6	1191-1194	Dr.	_	_
19-7	1195-1196	,	_	_
19-8	1197-1201	Wien	*	PLACEmentioned
19-9	1202-1203	.	_	_
