#FORMAT=WebAnno TSV 3.1
#T_SP=webanno.custom.LetterEntity|entity_id|value


#Text=Momnsen an Brunn Berlin , Mai 1893 Harnack , A. , Professor Dr. , Berlin .
1-1	0-7	Momnsen	*	PERauthor
11-10	538-545	Breslau	*	PLACEmentioned
11-11	546-547	.	_	_

#Text=von Herzog , E. , Professor Dr. , Tübingen .
12-1	548-551	von	*[15]	PERauthor[15]
12-2	552-558	Herzog	*[15]	PERauthor[15]
12-3	559-560	,	*[15]	PERauthor[15]
12-4	561-563	E.	*[15]	PERauthor[15]
12-5	564-565	,	_	_
12-6	566-575	Professor	_	_
12-7	576-579	Dr.	_	_
12-8	580-581	,	_	_
12-9	582-590	Tübingen	*	PLACEmentioned
12-10	591-592	.	_	_

#Text=Hettner , F. , Director Dr. , Trier .
13-1	593-600	Hettner	*[16]	PERauthor[16]
13-2	601-602	,	*[16]	PERauthor[16]
13-3	603-605	F.	*[16]	PERauthor[16]
13-4	606-607	,	_	_
13-5	608-616	Director	_	_
13-6	617-620	Dr.	_	_
13-7	621-622	,	_	_
13-8	623-628	Trier	*	PLACEmentioned
13-9	629-630	.	_	_

#Text=Hirschfeld , G. Professor Dr. , Königsberg i.P .
14-1	631-641	Hirschfeld	*[17]	PERauthor[17]
14-2	642-643	,	*[17]	PERauthor[17]
14-3	644-646	G.	*[17]	PERauthor[17]
14-4	647-656	Professor	_	_
14-5	657-660	Dr.	_	_
14-6	661-662	,	_	_
14-7	663-673	Königsberg	*[18]	PLACEmentioned[18]
14-8	674-677	i.P	*[18]	PLACEmentioned[18]
14-9	678-679	.	*[18]	PLACEmentioned[18]

#Text=Hirschfeld , O. , Professor Dr. , Berlin .
15-1	680-690	Hirschfeld	*[19]	PERauthor[19]
15-2	691-692	,	*[19]	PERauthor[19]
15-3	693-695	O.	*[19]	PERauthor[19]
15-4	696-697	,	_	_
15-5	698-707	Professor	_	_
15-6	708-711	Dr.	_	_
15-7	712-713	,	_	_
15-8	714-720	Berlin	*	PLACEmentioned
15-9	721-722	.	_	_

#Text=Hirzel , L. , Professor Dr. , Bern .
16-1	723-729	Hirzel	*[20]	PERauthor[20]
16-2	730-731	,	*[20]	PERauthor[20]
16-3	732-734	L.	*[20]	PERauthor[20]
16-4	735-736	,	_	_
16-5	737-746	Professor	_	_
16-6	747-750	Dr.	_	_
16-7	751-752	,	_	_
16-8	753-757	Bern	*	PLACEmentioned
16-9	758-759	.	_	_

#Text=Hirzel , R. , Professor Dr. , Jena .
17-1	760-766	Hirzel	*[21]	PERauthor[21]
17-2	767-768	,	*[21]	PERauthor[21]
17-3	769-771	R.	*[21]	PERauthor[21]
17-4	772-773	,	_	_
17-5	774-783	Professor	_	_
17-6	784-787	Dr.	_	_
17-7	788-789	,	_	_
17-8	790-794	Jena	*	PLACEmentioned
17-9	795-796	.	_	_

#Text=Hirzel , H. , Verlagsbuchhändler , Leipzig .
18-1	797-803	Hirzel	*[22]	PERauthor[22]
18-2	804-805	,	*[22]	PERauthor[22]
18-3	806-808	H.	*[22]	PERauthor[22]
18-4	809-810	,	_	_
18-5	811-829	Verlagsbuchhändler	_	_
18-6	830-831	,	_	_
18-7	832-839	Leipzig	*	PLACEmentioned
18-8	840-841	.	_	_

#Text=Hitzig , H. Professor Dr. , Zürich .
19-1	842-848	Hitzig	*[23]	PERauthor[23]
19-2	849-850	,	*[23]	PERauthor[23]
19-3	851-853	H.	*[23]	PERauthor[23]
19-4	854-863	Professor	_	_
19-5	864-867	Dr.	_	_
19-6	868-869	,	_	_
19-7	870-876	Zürich	*	PLACEmentioned
19-8	877-878	.	_	_

#Text=Homolle , Th. , Directeur de l1'Ecole Frangaise , Athen .
20-1	879-886	Homolle	*[24]	PERauthor[24]
20-2	887-888	,	*[24]	PERauthor[24]
20-3	889-892	Th.	*[24]	PERauthor[24]
20-4	893-894	,	*[24]	PERauthor[24]
20-5	895-904	Directeur	_	_
20-6	905-907	de	_	_
20-7	908-916	l1'Ecole	*[25]	ORGmentioned[25]
20-8	917-926	Frangaise	*[25]	ORGmentioned[25]
20-9	927-928	,	_	_
20-10	929-934	Athen	*	PLACEmentioned
20-11	935-936	.	_	_

#Text=von der Hude , H. , Baurath , Berlin .
21-1	937-940	von	*[26]	PERauthor[26]
21-2	941-944	der	*[26]	PERauthor[26]
21-3	945-949	Hude	*[26]	PERauthor[26]
21-4	950-951	,	*[26]	PERauthor[26]
21-5	952-954	H.	*[26]	PERauthor[26]
21-6	955-956	,	_	_
21-7	957-964	Baurath	_	_
21-8	965-966	,	_	_
21-9	967-973	Berlin	*	PLACEmentioned
21-10	974-975	.	_	_

#Text=Hülsen , Chr. , Dr. , Rom .
22-1	976-982	Hülsen	*[27]	PERauthor[27]
22-2	983-984	,	*[27]	PERauthor[27]
22-3	985-989	Chr.	*[27]	PERauthor[27]
22-4	990-991	,	_	_
22-5	992-995	Dr.	_	_
22-6	996-997	,	_	_
22-7	998-1001	Rom	*	PLACEmentioned
22-8	1002-1003	.	_	_

#Text=Humann , C. , Director Dr. , Smyrna .
23-1	1004-1010	Humann	*[28]	PERauthor[28]
23-2	1011-1012	,	*[28]	PERauthor[28]
23-3	1013-1015	C.	*[28]	PERauthor[28]
23-4	1016-1017	,	_	_
23-5	1018-1026	Director	_	_
23-6	1027-1030	Dr.	_	_
23-7	1031-1032	,	_	_
23-8	1033-1039	Smyrna	*	PLACEmentioned
23-9	1040-1041	.	_	_
